NO,식품명,1회제공량,에너지(㎉),탄수화물(g),단백질(g),지방(g),총 포화 지방산(g),총당류(g),총 식이섬유(g),칼슘(㎎),철(㎎),마그네슘(㎎),나트륨(㎎),콜레스테롤(㎎)
4546,제주 한라 녹차,360,0,0,0,0,0,0,0,0,0,0,0,-
4547,한라봉차,360,170,0,0,0,0,0,0,0,0,0,0,-
4548,자몽차,360,145,0,0,0,0,0,0,0,0,0,10,-
4549,사과유자차,360,130,0,0,0,0,0,0,0,0,0,95,-
4550,허브차_페퍼민트,360,0,0,0,0,0,0,0,0,0,0,0,-
4551,허브차_캐모마일,360,0,0,0,0,0,0,0,0,0,0,0,-
4552,홍차_얼그레이,360,0,0,0,0,0,0,0,0,0,0,0,-
4553,단팥 아이스탑,746,1150,0,40,15,0,0,0,0,0,0,400,-
4554,허니버터 크리스피볼,237,860,0,17,19,0,0,0,0,0,0,690,-
4555,메이플 허니브레드,280,915,0,17,30,0,0,0,0,0,0,1070,-
4556,갈릭치즈 크리스피볼,244,875,0,26,17,0,0,0,0,0,0,940,-
4557,갈릭치즈 허니브레드,260,840,0,32,20,0,0,0,0,0,0,1400,-
4558,프리미엄 블렌드 딥라떼 HOT,354,141,0,7,0,5,9,0,0,0,0,100,-
4559,프리미엄 블렌드 딥라떼 ICED,354,109,0,5,0,4,7,0,0,0,0,75,-
4560,인절미 크림라떼 HOT,354,496,0,11,0,15,49,0,0,0,0,191,-
4561,인절미 크림라떼 ICED,354,408,0,7,0,11,43,0,0,0,0,124,-
4562,리스트레또 딜라이트 HOT,354,303,0,12,0,11,31,0,0,0,0,199,-
4563,리스트레또 딜라이트 ICED,354,237,0,7,0,9,24,0,0,0,0,121,-
4564,티라미스 크림라떼 ICED,354,283,0,5,0,13,14,0,0,0,0,123,-
4565,밀크티 크림라떼 ICED,354,257,0,5,0,12,18,0,0,0,0,84,-
4566,그린티 크림라떼 ICED,354,258,0,5,0,12,17,0,0,0,0,83,-
4567,스위트 크림라떼 ICED,354,222,0,5,0,12,10,0,0,0,0,82,-
4568,콜드브루 라떼 ICED,354,125,0,5,0,4,8,0,0,0,0,85,-
4569,콜드브루,354,15,0,0,0,0,0,0,0,0,0,0,-
4570,아포가토,150,183,0,4,0,6,12,0,0,0,0,36,-
4571,리얼 벨지안 카페모카,354,508,0,11,0,20,35,0,0,0,0,100,-
4572,바닐라딜라이트 HOT,354,321,0,10,0,12,29,0,0,0,0,220,-
4573,바닐라딜라이트 ICED,354,245,0,6,0,9,24,0,0,0,0,161,-
4574,카라멜 마키아또 HOT,354,246,0,8,0,7,24,0,0,0,0,136,-
4575,카라멜 마키아또 ICED,354,174,0,5,0,4,20,0,0,0,0,81,-
4576,카페모카 HOT,354,332,0,9,0,14,29,0,0,0,0,142,-
4577,카페모카 ICED,354,287,0,6,0,11,30,0,0,0,0,92,-
4578,카푸치노 HOT,354,160,0,7,0,6,10,0,0,0,0,115,-
4579,카페라떼 HOT,354,180,0,8,0,7,12,0,0,0,0,130,-
4580,카페라떼 ICED,354,103,0,5,0,4,6,0,0,0,0,72,-
4581,아메리카노 HOT,354,11,0,1,0,0,0,0,0,0,0,0,-
4582,아메리카노 ICED,354,11,0,1,0,0,0,0,0,0,0,0,-
4583,에스프레소 마키아또 HOT,25,12,0,1,0,0,0,0,0,0,0,5,-
4584,에스프레소 꼰빠냐 HOT,25,61,0,1,0,5,1,0,0,0,0,9,-
4585,에스프레소 HOT,25,5,0,0,0,0,0,0,0,0,0,0,-
4586,우리 사과ㆍ히비스커스 HOT,354,140,0,0,0,0,33,0,0,0,0,13,-
4587,우리 사과ㆍ히비스커스 ICED,354,140,0,0,0,0,33,0,0,0,0,13,-
4588,우리 사과ㆍ레몬차 HOT,354,208,0,0,0,0,49,0,0,0,0,20,-
4589,우리 사과ㆍ레몬차 ICED,354,208,0,0,0,0,49,0,0,0,0,20,-
4590,천도복숭아 라떼 ICED,354,264,0,5,0,4,47,0,0,0,0,80,-
4591,유자 캐모마일 HOT,354,188,0,0,0,0,34,0,0,0,0,14,-
4592,유자 캐모마일 ICED,354,188,0,0,0,0,34,0,0,0,0,14,-
4593,복숭아 얼그레이 HOT,354,102,0,0,0,0,25,0,0,0,0,3,-
4594,복숭아 얼그레이 ICED,354,102,0,0,0,0,25,0,0,0,0,3,-
4595,고구마라떼 HOT,354,438,0,8,0,20,32,0,0,0,0,132,-
4596,고구마라떼 ICED,354,319,0,6,0,14,23,0,0,0,0,93,-
4597,히비스커스블렌드 HOT,354,0,0,0,0,0,0,0,0,0,0,0,-
4598,히비스커스블렌드 ICED,354,0,0,0,0,0,0,0,0,0,0,0,-
4599,피치우롱 HOT,354,0,0,0,0,0,0,0,0,0,0,0,-
4600,피치우롱 ICED,354,0,0,0,0,0,0,0,0,0,0,0,-
4601,페퍼민트 HOT,354,2,0,0,0,0,0,0,0,0,0,0,-
4602,페퍼민트 ICED,354,1,0,0,0,0,0,0,0,0,0,0,-
4603,캐모마일 HOT,354,3,0,0,0,0,0,0,0,0,0,3,-
4604,캐모마일 ICED,354,1,0,0,0,0,0,0,0,0,0,2,-
4605,얼그레이 HOT,354,3,0,0,0,0.1,0,0,0,0,0,0,-
4606,얼그레이 ICED,354,2,0,0,0,0,0,0,0,0,0,0,-
4607,해남 녹차 HOT,354,4,0,0,0,0,0,0,0,0,0,0,-
4608,해남 녹차 ICED,354,2,0,0,0,0,0,0,0,0,0,0,-
4609,홍자몽차 HOT,354,113,0,0,0,0,17,0,0,0,0,19,-
4610,홍자몽차 ICED,354,113,0,0,0,0,17,0,0,0,0,19,-
4611,스퀴즈레몬차 HOT,354,195,0,0,0,0,35,0,0,0,0,19,-
4612,스퀴즈레몬차 ICED,354,195,0,0,0,0,35,0,0,0,0,19,-
4613,고흥 유자차 HOT,354,282,0,0,0,0,51,0,0,0,0,21,-
4614,고흥 유자차 ICED,354,282,0,0,0,0,51,0,0,0,0,21,-
4615,제주 한라봉 감귤차 HOT,354,203,0,1,0,0,44,0,0,0,0,5,-
4616,제주 한라봉 감귤차 ICED,354,203,0,1,0,0,44,0,0,0,0,5,-
4617,밀크티라떼 HOT,354,256,0,9,0,7,31,0,0,0,0,142,-
4618,밀크티라떼 ICED,354,197,0,6,0,5,26,0,0,0,0,96,-
4619,그린티라떼 HOT,354,258,0,9,0,7,30,0,0,0,0,139,-
4620,그린티라떼 ICED,354,198,0,6,0,5,26,0,0,0,0,93,-
4621,핫초코 HOT,354,404,0,10,0,15,45,0,0,0,0,166,-
4622,핫초코 ICED,354,314,0,7,0,12,35,0,0,0,0,112,-
4623,화이트초코 HOT,354,419,0,10,0,17,41,0,0,0,0,154,-
4624,화이트초코 ICED,354,354,0,7,0,14,36,0,0,0,0,104,-
4625,리얼 벨지안 초코 HOT,354,624,0,13,0,29,39,0,0,0,0,146,-
4626,리얼 벨지안 초코 ICED,354,518,0,8,0,25,31,0,0,0,0,64,-
4627,민트초코 HOT,354,320,0,11,0,7,44,0,0,0,0,213,-
4628,민트초코 ICED,354,363,0,8,0,14,40,0,0,0,0,164,-
4629,천도복숭아 주스,354,112,0,2,0,0,13,0,0,0,0,0,-
4630,천도복숭아 스무디,354,197,0,1,0,0,46,0,0,0,0,6,-
4631,망고오렌지 스무디,354,209,0,1,0,0,50,0,0,0,0,15,-
4632,딸기 스무디,354,264,0,3,0,2,58,0,0,0,0,48,-
4633,오렌지파인착즙스무디,354,187,0,2,0,0,19,0,0,0,0,25,-
4634,비트사과착즙스무디,354,186,0,3,0,0,19,0,0,0,0,43,-
4635,청포도케일착즙스무디,354,209,0,2,0,0,27,0,0,0,0,30,-
4636,오렌지파인착즙주스,354,107,0,1,0,0,19,0,0,0,0,24,-
4637,비트사과착즙주스,354,106,0,2,0,0,19,0,0,0,0,42,-
4638,청포도케일착즙주스,354,129,0,1,0,0,27,0,0,0,0,29,-
4639,블루베리 요거트 할리치노,354,287,0,7,0,2,56,0,0,0,0,176,-
4640,플레인 요거트 할리치노,354,302,0,8,0,2,58,0,0,0,0,210,-
4641,밀크티 할리치노,354,316,0,2,0,9,52,0,0,0,0,76,-
4642,그린티 할리치노,354,412,0,7,0,12,57,0,0,0,0,143,-
4643,다크초코칩 할리치노,354,658,0,8,0,29,50,0,0,0,0,45,-
4644,민트 초코 할리치노,354,511,0,8,0,24,46,0,0,0,0,194,-
4645,딸기치즈케익 할리치노,354,432,0,7,0,14,39,0,0,0,0,171,-
4646,콜드브루 모카 할리치노,354,407,0,6,0,12,57,0,0,0,0,193,-
4647,콜드브루 할리치노,354,307,0,5,0,12,34,0,0,0,0,178,-
4648,더블베리 스파클링,472,144,0,0,0,0,33,0,0,0,0,19,-
4649,복숭아 자두 스파클링,472,153,0,0,0,0,38,0,0,0,0,5,-
4650,자몽 파인 스파클링 new,472,208,0,0,0,0,46,0,0,0,0,18,-
4651,청포도 스파클링,472,189,0,0,0,0,42,0,0,0,0,19,-
4652,페퍼로니 치즈 바게트,200,512,0,26,0,8,5,0,0,0,0,1229,-
4653,미트볼 칠리 치즈,233,570,0,26,0,8,14,0,0,0,0,1229,-
4654,명란 에그 마요,288,729,0,32,0,7.8,6,0,0,0,0,1874,-
4655,반반 마요 (에그/감자),285,684,0,26,0,6.7,9,0,0,0,0,1577,-
4656,당근 크림치즈 라운드,203,739,0,8,0,19,41,0,0,0,0,482,-
4657,인절미 크림 쉬폰 라운드,170,602,0,9,0,15.7,30,0,0,0,0,216,-
4658,복숭아 얼그레이,168,609,0,6,0,28,34,0,0,0,0,183,-
4659,아이스크림 사과 타르트,206,445,0,4,0,12.5,46,0,0,0,0,100,-
4660,쌀 촉촉 카스테라,180,495,0,11,0,2.5,69,0,0,0,0,85,-
4661,아이스크림 꽂힌 티라미스,190,468,0,8,0,20,28,0,0,0,0,165,-
4662,블루베리 마스카포네 라운드,168,547,0,8,0,21.9,33,0,0,0,0,132,-
4663,단호박 치즈 라운드,233,665,0,15,0,20.1,25,0,0,0,0,362,-
4664,페스토 햄 모짜렐라,185,450,0,25,0,4.1,8,0,0,0,0,1010,-
4665,올리브 베이컨 치아바타,198,560,0,25,0,7,3,0,0,0,0,1110,-
4666,오트밀 치킨 할라피뇨,220,444,0,26,0,4.9,2,0,0,0,0,1018,-
4667,에그 마요,270,651,0,31,0,7,4,0,0,0,0,1620,-
4668,더블 베리 치즈 라운드,210,620,0,12,0,22.7,36,0,0,0,0,573,-
4669,더블 초코 라운드,231,951,0,9,0,4.2,66,0,0,0,0,309,-
4670,딸기 갸토 쇼콜라,121,406,0,6,0,3.1,32,0,0,0,0,57,-
4671,리얼벨지안 초코케익,162,685,0,8,0,21.1,42,0,0,0,0,226,-
4672,마스카포네 티라미스,131,345,0,4,0,14,3,0,0,0,0,105,-
4673,뉴욕치즈,125,313,0,6,0,6.3,13,0,0,0,0,150,-
4674,쿠키&치즈,141,247,0,4,0,11.4,10,0,0,0,0,33,-
4675,초코쿠키 파운드케익,80,380,0,5,0,15,19,0,0,0,0,130,-
4676,얼그레이 파운드케익,80,335,0,5,0,13,17,0,0,0,0,90,-
4677,햄치즈 데니쉬식빵,100,350,0,9,0,9,8,0,0,0,0,320,-
4678,갈릭 데니쉬식빵,100,335,0,10,0,9,3,0,0,0,0,470,-
4679,크로크무슈,160,470,0,10,0,10,55,0,0,0,0,845,-
4680,스위트콘 에그데니쉬,130,487,0,14,0,11.3,10,0,0,0,0,489,-
4681,베이컨 에그 데니쉬,120,485,0,15,0,12.6,7,0,0,0,0,521,-
4682,초코칩 스콘,105,508,0,8,0,12.8,19,0,0,0,0,421,-
4683,크랜베리 스콘,105,493,0,7,0,10.4,20,0,0,0,0,418,-
4684,데니쉬 와플,72,276,0,5,0,6.1,12,0,0,0,0,162,-
4685,치즈 퐁듀 바게트볼,125,442,0,10,0,4.4,3,0,0,0,0,662,-
4686,초콜릿 카라멜 바게트볼,147,545,0,10,0,11.1,20,0,0,0,0,621,-
4687,허니바게트볼,130,488,0,9,0,6.2,23,0,0,0,0,604,-
4688,머쉬룸 수프볼,206,370,0,10,0,5.1,14,0,0,0,0,758,-
4689,블루베리 크림치즈 머핀,90,450,0,7,0,7,26,0,0,0,0,540,-
4690,치즈베이글&크림치즈,148,479,0,14,0,12.6,10,0,0,0,0,296,-
4691,플레인 베이글&크림치즈,138,366,0,13,0,8.1,6,0,0,0,0,598,-
4692,블루베리 베이글&크림치즈,138,371,0,12,0,8.2,7,0,0,0,0,646,-
4693,치킨 크림 리조또,241,454,0,16,0,12,4,0,0,0,0,511,-
4694,스파이시 씨푸드 리조또,241,361,0,14,0,6.1,6,0,0,0,0,648,-
4695,로제 펜네 그라탕,241,383,0,22,0,9.1,5,0,0,0,0,797,-
4696,멜로한 연유 라떼,316,192,0,10.4,0,9,0,0,0,0,0,9.6,-
4697,아이스 멜로한 연유 라떼,216,137,0,7.4,0,6.4,0,0,0,0,0,6.9,-
4698,멜로우 크림 라떼,367,224.2,0,11.1,0,19.2,0,0,0,0,0,11.2,-
4699,아이스 멜로우 크림 라떼,267,169.2,0,8.1,0,16.6,0,0,0,0,0,8.5,-
4700,에스프레소,30,1,0,0.3,0,0,0,0,0,0,0,0,-
4701,카페 아메리카노,360,1,0,0.3,0,0,0,0,0,0,0,0,-
4702,아이스 카페 아메리카노,420,1,0,0.3,0,0,0,0,0,0,0,0,-
4703,카페 라떼,360,126,0,7.8,0,6.25,0,0,0,0,0,6,-
4704,아이스 카페 라떼,420,91,0,5.7,0,4.5,0,0,0,0,0,5,-
4705,카푸치노,360,116,0,7.2,0,5.75,0,0,0,0,0,6,-
4706,아이스 카푸치노,420,61,0,3.9,0,3,0,0,0,0,0,3,-
4707,바닐라 라떼,360,117,0,7.5,0,6,0,0,0,0,0,6,-
4708,아이스 바닐라 라떼,420,78,0,5.1,0,8,0,0,0,0,0,4,-
4709,헤이즐넛 라떼,360,158,0,7.6,0,7.4,0,0,0,0,0,7.9,-
4710,아이스 헤이즐넛 라떼,420,103,0,4.6,0,4.8,0,0,0,0,0,5.2,-
4711,카라멜 마끼아또,360,162,0,5.6,0,14,0,0,0,0,0,9,-
4712,아이스 카라멜 마끼아또,420,162,0,5.6,0,14,0,0,0,0,0,9,-
4713,카페모카,360,175,0,8.4,0,14,0,0,0,0,0,9,-
4714,아이스 카페모카,420,137,0,6.1,0,14,0,0,0,0,0,9,-
4715,매드벨벳,240,106.6,0,4.4,0,10.9,0,0,0,0,0,5.33,-
4716,초콜릿 밀크,360,204,0,8.5,0,15,0,0,0,0,0,10,-
4717,아이스 초콜릿 밀크,420,169,0,6.4,0,13.2,0,0,0,0,0,9,-
4718,그린티 라떼,360,146,0,8.3,0,6.25,0,0,0,0,0,7,-
4719,아이스 그린티 라떼,420,111,0,6.2,0,4.5,0,0,0,0,0,6,-
4720,밀크티,360,125,0,27.5,0,6.25,0,0,0,0,0,6,-
4721,아이스 밀크티,420,90,0,5.4,0,4.5,0,0,0,0,0,5,-
4722,고구마 라떼,360,128,0,7.5,0,6.25,0,0,0,0,0,6,-
4723,아이스 고구마 라떼,420,93,0,5.4,0,4.5,0,0,0,0,0,5,-
4724,레드벨벳 라떼,360,211,0,8.7,0,6.25,0,0,0,0,0,10,-
4725,아이스 레드벨벳 라떼,420,114.1,0,5.6,0,4.9,0,0,0,0,0,5.7,-
4726,다크 쇼콜라,294,246.7,0,11.1,0,10.5,0,0,0,0,0,12.3,-
4727,아이스 다크 쇼콜라,144,171.7,0,6.6,0,9.6,0,0,0,0,0,8.6,-
4728,2019 피치플럼 빙수,392,121,0,9.2,0,5.4,0,0,0,0,0,6.1,-
4729,에스프레소 프라노베,420,153,0,5.3,0,2.5,0,0,0,0,0,8,-
4730,모카 프라노베,420,179,0,5.3,0,11.2,0,0,0,0,0,9,-
4731,카라멜 프라노베,420,212,0,4.3,0,11.2,0,0,0,0,0,11,-
4732,초코 프라노베,420,228,0,7,0,11.7,0,0,0,0,0,11,-
4733,넛츠 프라노베,420,290,0,5,0,11,0,0,0,0,0,14,-
4734,그린티 프라노베,420,154,0,5.8,0,3,0,0,0,0,0,7,-
4735,자바칩 프라노베,420,313,0,5,0,20,0,0,0,0,0,15,-
4736,쿠키앤크림 프라노베,420,317,0,5,0,20,0,0,0,0,0,15,-
4737,다크쇼콜라 프라노베,420,230.7,0,9,0,12.7,0,0,0,0,0,11.53,-
4738,스무벨라 딸기,420,52,0,1,0,0.7,0,0,0,0,0,3,-
4739,스무벨라 키위,420,48,0,0.9,0,0,0,0,0,0,0,2,-
4740,스무벨라 망고,420,12,0,0.7,0,0,0,0,0,0,0,1,-
4741,베리베리 스무벨라,420,54,0,0.9,0,1.1,0,0,0,0,0,3,-
4742,요거스무벨라 플레인,420,119,0,8,0,3.75,0,0,0,0,0,6,-
4743,요거스무벨라 딸기,420,98,0,4.9,0,3.53,0,0,0,0,0,5,-
4744,요거스무벨라 블루베리,420,98,0,4.9,0,3.53,0,0,0,0,0,5,-
4745,맑은 유자 플럼 티,360,15.4,0,0.2,0,0,0,0,0,0,0,0.77,-
4746,아이스 맑은 유자 플럼 티,420,15.4,0,0.2,0,0,0,0,0,0,0,0.77,-
4747,시나몬 진저 티,360,10,0,0,0,0,0,0,0,0,0,0.5,-
4748,아이스 시나몬 진저 티,420,10,0,0,0,0,0,0,0,0,0,0.5,-
4749,맑은 배 도라지 티,360,12.1,0,0.1,0,0,0,0,0,0,0,0.6,-
4750,아이스 맑은 배 도라지 티,420,12.1,0,0.1,0,0,0,0,0,0,0,0.6,-
4751,레드클렌즈,240,40,0,1,0,0,0,0,0,0,0,2,-
4752,루트클렌즈,240,54,0,1,0,0,0,0,0,0,0,3,-
4753,엘로우 클렌즈,240,23,0,1,0,0,0,0,0,0,0,1,-
4754,그린 클렌즈,240,70,0,1,0,0,18,0,0,0,0,0,-
4755,유자차,360,30,0,0,0,0,0,0,0,0,0,1.5,-
4756,레몬 에이드,420,29,0,0.9,0,0,0,0,0,0,0,1,-
4757,자몽 에이드,420,29,0,0.9,0,0,0,0,0,0,0,1,-
4758,라임에이드,360,8,0,0,0,0,0,0,0,0,0,0,-
4759,얼그레이 클래식,360,0,0,0,0,0,0,0,0,0,0,0,-
4760,캐모마일,360,3,0,0,0,0,0,0,0,0,0,0,-
4761,머스캣,360,6,0,1,0,0,1,0,0,0,0,0,-
4762,루이보스 슈가플럼,360,0,0,0,0,0,0,0,0,0,0,0,-
4763,레몬 티,360,25,0,0.9,0,1,0,0,0,0,0,1,-
4764,아이스 레몬 티,420,25,0,0.9,0,1,0,0,0,0,0,1,-
4765,자몽 티,360,25,0,0.9,0,1,0,0,0,0,0,1,-
4766,아이스 자몽 티,420,25,0,0.9,0,1,0,0,0,0,0,1,-
4767,딸기 주스,420,70,0,2,0,1,0,0,0,0,0,3,-
4768,키위 주스,420,5,0,0,0,0.3,0,0,0,0,0,0,-
4769,토마토 주스,420,9,0,2,0,0.3,0,0,0,0,0,0,-
4770,2019 딸기 빙수,536,141.4,0,17,0,8.7,0,0,0,0,0,7.1,-
4771,2019 곡물 팥빙수,430,260.7,0,32.7,0,7,0,0,0,0,0,13,-
4772,2019 포도 빙수,463,124.6,0,10.2,0,8.7,0,0,0,0,0,6.23,-
4773,2019 곡물 팥빙수(SNOW),658,341.2,0,29.1,0,16.2,0,0,0,0,0,17.1,-
4774,2019 딸기 요거트 빙수(SNOW),652,218.1,0,9.2,0,19.3,0,0,0,0,0,10.9,-
4775,2019 피치플럼 빙수(SNOW),538,190.3,0,8.8,0,4.3,0,0,0,0,0,9.5,-
4776,2019 포도 빙수(SNOW),647,188.6,0,11.9,0,9.1,0,0,0,0,0,9.4,-
4777,2019 쿠키앤초코 빙수(SNOW),467,367.5,0,11.9,0,21.3,0,0,0,0,0,18.4,-
4778,콘 소시지,145,905.9,0,12.8,0,4,0,0,0,0,0,45.2,-
4779,소시지 치즈 롤,148,972.3,0,12.2,0,4,0,0,0,0,0,48.6,-
4780,콘 치즈,143,505.4,0,7.7,0,0,0,0,0,0,0,25.2,-
4781,슈크림 브레드,184,90.5,0,12.4,0,3.3,0,0,0,0,0,4.52,-
4782,고구마 치즈 브레드,172,289.4,0,13.5,0,0.6,0,0,0,0,0,14.4,-
4783,크로크무슈,220,1293,0,20,0,6,0,0,0,0,0,65,-
4784,허니 갈릭 부기브레드,170,492,0,9,0,2,0,0,0,0,0,25,-
4785,스윗 칠리 부기브레드,170,470,0,8,0,1.9,0,0,0,0,0,24,-
4786,아이스 크로칸 슈,80,135,0,7,0,2.73,0,0,0,0,0,7,-
4787,미니 허니브레드 _ 플레인,130,280.01,0,2.01,0,12.14,0,0,0,0,0,1,-
4788,미니 허니브레드 _ 초코,130,288.04,0,2.03,0,12.14,0,0,0,0,0,0,-
4789,미니 허니브레드 _ 카라멜,130,276.34,0,1.77,0,12.14,0,0,0,0,0,0,-
4790,미니 허니브레드 _ 녹차,130,270.1,0,1.8,0,12.14,0,0,0,0,0,13,-
4791,컬러 베이글,110,161,0,6.3,0,0,0,0,0,0,0,8,-
4792,버터 카야 토스트,128,131.4,0,9,0,0,0,0,0,0,0,6.57,-
4793,카야토스트,89,501,0,20,0,6,0,0,0,0,0,25,-
4794,블루베리 토스트,95,514,0,8,0,5,0,0,0,0,0,26,-
4795,크림치즈 프레즐,99,310,0,7,0,3,0,0,0,0,0,16,-
4796,스낵의 정석(오리지널),30,40,0,2,0,0.4,6,0,0,0,0,2,-
4797,스낵의 정석(그린애플),30,70,0,3,0,0.3,10,0,0,0,0,4,-
4798,더치커피(에티오피아 예가체프),375,0,0,2.5,0,4,0,0,0,0,0,0,-
4799,더치커피(케냐AA),375,0,0,2,0,0,0,0,0,0,0,0,-
4800,더치커피(에티오피아 예가체프),1000,6.7,0,6.7,0,0,0,0,0,0,0,0,-
4801,더치커피(케냐AA),1000,157.8,0,2,0,1.4,0,0,0,0,0,0,-
4802,오리지널 핫도그,143,292,0,14.3,0,4.6,4,0,0,0,0,0,-
4803,어니언 핫도그,156,359,0,14.3,0,5.7,6.9,0,0,0,0,0,-
4804,렐리쉬 핫도그,173,322,0,14.7,0,4.6,4,0,0,0,0,0,-
4805,화이트 렐리쉬 핫도그,178,342,0,16,0,6.9,6,0,0,0,0,0,-
4806,할리피뇨치즈 핫도그,178,342,0,16,0,6.9,6,0,0,0,0,0,-
4807,시카고 핫도그,181,305,0,14.7,0,4.6,4.3,0,0,0,0,0,-
4808,칠리치즈 핫도그,161,350,0,16.2,0,5.6,7.1,0,0,0,0,0,-
4809,튜나마요 핫도그,161,383,0,16.2,0,5.6,7.1,0,0,0,0,0,-
4810,페퍼로니 핫도그,161,398,0,16.2,0,5.6,7.1,0,0,0,0,0,-
4811,어니언링 핫도그,199,515,0,16.7,0,7.2,9.9,0,0,0,0,0,-
4812,스파이스치킨 핫도그,194,363,0,20.5,0,5,10.5,0,0,0,0,0,-
4813,치즈불고기 핫도그,186,421,0,24.8,0,8.6,9.6,0,0,0,0,0,-
4814,고르곤졸라 핫도그,152,373,0,20.2,0,7.7,4,0,0,0,0,0,-
4815,치킨텐더 핫도그,174,330,0,13.4,0,3.5,7.9,0,0,0,0,0,-
4816,아메리카노 HOT,290,34,0,1.1,0,0,0,0,0,0,0,0,-
4817,아메리카노 ICE,390,34,0,1.1,0,0,0,0,0,0,0,0,-
4818,카페라떼 HOT,300,192,0,8.6,0,0,0,0,0,0,0,0,-
4819,카페라떼 ICE,390,160,0,7.1,0,0,0,0,0,0,0,0,-
4820,카페모카 HOT,284,296,0,7.9,0,0,25.7,0,0,0,0,0,-
4821,카페모카 ICE,390,264,0,6.4,0,0,25.7,0,0,0,0,0,-
4822,카라멜모카 HOT,279,270,0,7.5,0,0,22.1,0,0,0,0,0,-
4823,카라멜모카 ICE,390,238,0,6,0,0,22.1,0,0,0,0,0,-
4824,카라멜라떼 HOT,320,257,0,8.6,0,0,16.1,0,0,0,0,0,-
4825,카라멜라떼 ICE,390,213,0,6.5,0,0,16.1,0,0,0,0,0,-
4826,카라멜마끼아또 HOT,294,243,0,7.1,0,0,18.8,0,0,0,0,0,-
4827,카라멜마끼아또 ICE,390,211,0,5.6,0,0,18.8,0,0,0,0,0,-
4828,카푸치노 HOT,270,148,0,6.5,0,0,0,0,0,0,0,0,-
4829,카푸치노 ICE,390,129,0,5.6,0,0,0,0,0,0,0,0,-
4830,초코라떼 HOT,290,277,0,8.2,0,0,22.7,0,0,0,0,0,-
4831,초코라떼 ICE,390,245,0,6.7,0,0,22.7,0,0,0,0,0,-
4832,바닐라카페라떼 HOT,320,260,0,8.6,0,0,16.9,0,0,0,0,0,-
4833,바닐라카페라떼 ICE,390,216,0,6.5,0,0,16.9,0,0,0,0,0,-
4834,그린티라떼 HOT,280,269,0,10.5,0,0,18,0,0,0,0,0,-
4835,그린티라떼 ICE,390,237,0,9,0,0,18,0,0,0,0,0,-
4836,블랙빈 라떼 HOT,280,270,0,8.3,0,0,25.5,0,0,0,0,0,-
4837,블랙빈 라떼 ICE,390,239,0,6.8,0,0,25.5,0,0,0,0,0,-
4838,딸기 스무디,390,297,0,3,0,1.3,47.7,0,0,0,0,0,-
4839,키위 스무디,390,306,0,3,0,1,40.4,0,0,0,0,0,-
4840,망고 스무디,390,297,0,3,0,0.5,45.9,0,0,0,0,0,-
4841,블루베리 스무디,390,315,0,3,0,1,47.7,0,0,0,0,0,-
4842,버터갈릭 포테이토 S,170,390,0,3,0,5,3.5,0,0,0,0,0,-
4843,버터갈릭 포테이토 L,240,780,0,6,0,10,7,0,0,0,0,0,-
4844,치즈갈릭 포테이토 S,170,390,0,3.1,0,5,3.5,0,0,0,0,0,-
4845,치즈갈릭 포테이토 L,340,780,0,6.2,0,10,7,0,0,0,0,0,-
4846,오리지널 포테이토 S,150,324,0,3.9,0,4,0.7,0,0,0,0,0,-
4847,오리지널 포테이토 L,300,649,0,7.8,0,7.9,1.3,0,0,0,0,0,-
4848,고르곤졸라 포테이토 S,172,408,0,9.9,0,7.1,0.7,0,0,0,0,0,-
4849,고르곤졸라 포테이토 L,344,815,0,19.8,0,14.2,1.3,0,0,0,0,0,-
4850,칠리치즈 포테이토 S,181,385,0,6.9,0,6.3,3.4,0,0,0,0,0,-
4851,칠리치즈 포테이토 L,362,769,0,13.9,0,12.6,4.9,0,0,0,0,0,-
4852,사워크림 포테이토 S,181,471,0,6.5,0,8.1,4.5,0,0,0,0,0,-
4853,사워크림 포테이토 L,362,943,0,13,0,16.2,9.1,0,0,0,0,0,-
4854,스위트 칠리 포테이토 S,171,370,0,3.8,0,4,13.9,0,0,0,0,0,-
4855,스위트 칠리 포테이토 L,342,740,0,7.6,0,8,27.8,0,0,0,0,0,-
4856,할라치뇨치즈 포테이토 S,183,365,0,5.3,0,5.9,2.4,0,0,0,0,0,-
4857,할라치뇨치즈 포테이토 L,366,729,0,10.6,0,11.9,4.8,0,0,0,0,0,-
4858,어니언 포테이토 S,176,394,0,3.9,0,5,3.5,0,0,0,0,0,-
4859,어니언 포테이토 L,352,788,0,7.9,0,10.1,7.1,0,0,0,0,0,-
4860,치즈시즈닝 포테이토 S,150,313,0,3.7,0,4,0.7,0,0,0,0,0,-
4861,치즈시즈닝 포테이토 L,300,625,0,7.4,0,7.9,1.3,0,0,0,0,0,-
4862,허니버터 시즈닝 포테이토 S,150,313,0,3.7,0,4,0.7,0,0,0,0,0,-
4863,허니버터 시즈닝 포테이토 L,300,625,0,7.4,0,7.9,1.3,0,0,0,0,0,-
4864,오렌지에이드,390,136,0,2,0,0,12,0,0,0,0,0,-
4865,레몬에이드,390,155,0,0,0,0,20.4,0,0,0,0,0,-
4866,자몽에이드,390,116,0,2,0,0,4,0,0,0,0,0,-
4867,청포도 에이드,390,183,0,0,0,0,28,0,0,0,0,0,-
4868,치즈스틱 S,75,184,0,13.5,0,5.2,234,0,0,0,0,0,-
